Start Time,Duration,Run ID,Name,Source Type,Source Name,User,Status,model_name,n_neighbours,number_of_splits,poly_degree,weights,Variance_MAE,Variance_MSE,Variance_r2,mean_MAE,mean_MSE,mean_r2
2022-04-30 23:14:16,8.5s,ff7ffcf9e51843cc894ed7e9018977ea,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,7,3,uniform,0.6836392411510068,121.54644131291408,0.042436815439479324,4.918024111549487,38.796150607693036,0.6057153098105251
2022-04-30 23:14:04,8.4s,277765f54bf64515be75a4d7b60090c5,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,6,3,uniform,0.48208899631067714,74.68699787799356,0.011016216755599577,4.893052843937679,38.71150173125981,0.6504862333947629
2022-04-30 23:13:53,8.2s,5597223d739e4a5a8d2e9610de1a1a9c,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,5,3,uniform,0.7560988364958252,122.48973246692478,0.012791878958753,4.912227199762515,38.8801009993866,0.6449188577253977
2022-04-30 23:13:41,8.1s,a4d4553ba16d4e2d9620bfa16f6d157a,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,4,3,uniform,0.4197897434349229,60.08326700091219,0.007889025184681493,5.056450551656926,40.817556044252015,0.6294193983457335
2022-04-30 23:13:30,7.9s,27522f10dd7b4b1eadf2f7328dc6ce88,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,3,3,uniform,0.6440626016800883,114.77006811935105,0.019438413337356825,5.1632273571577025,42.65006949393992,0.601564483291134
2022-04-30 23:13:09,7.8s,3e6d5c681e4647118c15c7c520b012b7,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,2,3,uniform,0.47790234088616007,88.58223497873175,0.0003780978070501979,5.357660424105123,45.687504955601526,0.5833338685217435
2022-04-30 23:06:03,8.9s,57a26e7c5272465e8ed4c935f8b67169,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,9,2,uniform,0.7075029507317575,497.150946787464,0.03139517800330072,5.604756653277101,52.490761542340984,0.49827936210127866
2022-04-30 23:05:51,8.9s,db208d2cd55941c8a22df63a4c845b30,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,8,2,uniform,0.7106532332322344,506.98694908706415,0.049973330238085825,5.63575395879344,52.239069805701995,0.4929395865132774
2022-04-30 23:05:37,8.5s,df406242c0f847ac8ad1831595e3d085,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,7,2,uniform,0.495824171697601,95.935781878956,0.0407338876908999,5.396418176723458,44.081546596899216,0.5583597629548456
2022-04-30 23:05:24,8.4s,fada19611f234751ad564ad4dabf3d76,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,6,2,uniform,0.5768175136420265,110.27080663708948,0.01550584569108922,5.385150900762927,43.9807124668583,0.6041037507348886
2022-04-30 23:05:13,8.3s,b97f70fa41004c008508582467e65a64,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,5,2,uniform,0.5328418319676795,89.14719746470483,0.011117861900015366,5.330471104755285,43.29709229689533,0.605530076012006
2022-04-30 23:04:47,8.2s,e5bf05509ed940349b23564227e5d145,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,4,2,uniform,0.4904002504515902,80.40821867579291,0.006662441379402943,5.52152626786943,46.46831657919294,0.5818672914547525
2022-04-30 23:04:35,8.0s,c4df35c283d448cb9ebf7843602a7136,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,3,2,uniform,0.48974144379751133,102.11167673915993,0.019134552665505334,5.52040138824882,46.11996047003655,0.5691507043517535
2022-04-30 23:03:29,7.9s,8e4fd3944d2041069b7a4d42faf59866,,PROJECT,file:///Users/co2yd4bcjgh6/Library/CloudStorage/OneDrive-Personal/myWorkspace/school_code/itu/4-semester/lsda/assignment3,co2yd4bcjgh6,FINISHED,lin_reg,8,2,2,uniform,0.49650095158567015,94.02304753014151,0.00028066866858995833,5.7127411973218,49.23096722904284,0.5503421380955821
